path,header,target,translated
src\generated\csv\FandescFandesc.csv,name_en,Riichi,리치
src\generated\csv\FandescFandesc.csv,desc_en,Win a hand after you declared Riichi; You may declare Riichi when you achieve Tenpai (ready hand) at Menzenchin (closed hand),리치 선언 후 화료 - 리치 선언은 멘젠 상태에서 텐파이 했을 때 할 수 있음
src\generated\csv\FandescFandesc.csv,desc2_en,Menzenchin Only,멘젠 한정
src\generated\csv\FandescFandesc.csv,name_en,All Simples,탕야오
src\generated\csv\FandescFandesc.csv,desc_en,"Win a hand without any Terminal Tiles (1-Man/9-Man, 1-Pin/9-Pin, 1-Sou/9-Sou, Wind Tiles, and Dragon Tiles)","요구패(1만, 9만, 1통, 9통, 1삭, 9삭, 바람패, 역패)가 손패에 없는 상태로 화료"
src\generated\csv\FandescFandesc.csv,name_en,Fully Concealed Hand,멘젠쯔모
src\generated\csv\FandescFandesc.csv,desc_en,Win a hand by Tsumo (drawing the winning tile) at Menzenchin (closed hand),멘젠 상태에서 쯔모(자신이 뽑아온 패)로 화료
src\generated\csv\FandescFandesc.csv,name_en,Seat Wind,자풍패
src\generated\csv\FandescFandesc.csv,desc_en,Win a hand with a Triplet of Player Wind,자신의 방위에 맞는 바람패 커쯔가 포함된 손패로 화료
src\generated\csv\FandescFandesc.csv,name_en,Prevalent Wind,장풍패
src\generated\csv\FandescFandesc.csv,desc_en,Win a hand with a Triplet of Round Wind,장의 방위에 맞는 바람패 커쯔가 포함된 손패로 화료
src\generated\csv\FandescFandesc.csv,name_en,Dragons,역패
src\generated\csv\FandescFandesc.csv,desc_en,"Win a hand with a Triplet of Dragon Tile (White, Green or Red)","역패(백, 발, 중) 커쯔가 포함된 손패로 화료"
src\generated\csv\FandescFandesc.csv,name_en,Pinfu,핑후
