location,source,target
both_ui/bind_yostar_mail|0|5|0,Send code,코드 전송
both_ui/bind_yostar_mail|0|6|0,Bind,연결
both_ui/config|0|2,Settings,설정
both_ui/config|0|4|1,Log Out,로그아웃
both_ui/config|0|5|1,Restart Now,지금 재시작
both_ui/config|0|7|0|0|1,BGM,BGM
both_ui/config|0|7|0|0|2|0,BGM,BGM
both_ui/config|0|7|0|0|3|0|0,Lobby BGM,로비 BGM
both_ui/config|0|7|0|0|3|0|6|0|0|3,Playlist loop,재생목록 반복
both_ui/config|0|7|0|0|3|0|6|1|0|3,Random,랜덤
both_ui/config|0|7|0|0|3|1|0,In-match BGM,게임중 BGM
both_ui/config|0|7|0|0|3|1|6|0|0|3,Playlist loop,재생목록 반복
both_ui/config|0|7|0|0|3|1|6|1|0|3,Random,랜덤
both_ui/config|0|7|0|0|4|0,SE,SE
both_ui/config|0|7|0|0|5|0,Riichi BGM,리치 BGM
both_ui/config|0|7|0|0|6|0,Voice,음성
both_ui/config|0|7|0|0|8|0,SP Voice,SP 음성
both_ui/config|0|7|0|1|0|0|3,High FPS mode,고사양 모드
both_ui/config|0|7|0|1|1|0|3,Power saving mode,저사양 모드
both_ui/config|0|7|0|1|3,Mode,모드
both_ui/config|0|7|0|1|4,(Changes will take effect after restarting the game),(변경사항은 게임을 재시작한 뒤 에 적용됩니다)
both_ui/config|0|7|1|0|0,Control,조작
both_ui/config|0|7|1|0|1,Playing Tiles,타패
both_ui/config|0|7|1|0|2|0|3,Single tap,한번 탭
both_ui/config|0|7|1|0|3|0|3,Double tap,두번 탭
both_ui/config|0|7|1|0|4|0|3,Double to pass & discard,두번 탭하여 넘기기 및 버리기
both_ui/config|0|7|1|1|0,Message,메시지
both_ui/config|0|7|1|1|2|0|3,Anybody,누구나
both_ui/config|0|7|1|1|3|0|3,Friends only,친구만
both_ui/config|0|7|1|1|4|0|3,Forbid all,모두 금지
both_ui/config|0|7|1|2|0,TileSet,타일셋
both_ui/config|0|7|1|2|1,(Can only be set at homepage),(홈페이지에서만 설정 가능)
both_ui/config|0|7|2|0|0,Voice,음성
both_ui/config|0|7|3|0|0,Other,기타
both_ui/config|0|7|3|0|2|1,Gift Code,선물 코드
both_ui/config|0|7|3|0|3|1,View Yaku,역 보기
both_ui/config|0|7|3|0|5|0|1,Contact Us,문의하기
both_ui/config|0|7|3|0|5|1|1,TERMS OF SERVICE,이용 약관
both_ui/config|0|7|3|0|5|2|1,PRIVACY POLICY,개인정보취급방침
both_ui/config|0|7|3|1|1|1|0,Not Verified,인증되지 않음
both_ui/config|0|7|3|1|1|2,(Tap to get verified),(탭하여 인증)
both_ui/config|0|7|3|3|0,Account settings,계정 설정
both_ui/config|0|7|3|3|2|0,Account Binding：,계정 연결：
both_ui/config|0|7|3|3|2|1|0|0,Not Bound,연결되지 않음
both_ui/config|0|7|3|3|2|1|0|1,(Tap to bind),(탭하여 연결)
both_ui/config|0|7|3|3|2|2|1,(Tap to unbind),(탭하여 연결 해제)
both_ui/config|0|8|0|0,Others,기타
both_ui/config|0|8|1|0,Voice,음성
both_ui/config|0|8|2|0,Preference,환경설정
both_ui/config|0|8|3|0,General,일반
both_ui/getreward|0|3,Tap to close,탭하여 닫기
both_ui/gettitle|0|2,Added to titles,타이틀에 추가됨
both_ui/gitfcode|0|2,Gift Code,선물 코드
both_ui/gitfcode|0|3,Enter a Gift Code to claim rewards,보상 신청을 위해 선물 코드 입력
both_ui/gitfcode|0|5|0,Confirm,확인
both_ui/infolite|0|2|0,Confirm,확인
both_ui/infolite_title|0|2|0,Confirm,확인
both_ui/invite|0|1|0|0,Mute this for 5m,5분 동안 음소거
both_ui/invite|0|2|0|0,Cancel,취소
both_ui/invite|0|3|0|0,Join,참가
both_ui/invite|0|4,Invites you to join,참가 요청
both_ui/invite|0|8,Auto-cancel after 3 minutes,3분 뒤 자동 취소
both_ui/itemdetail|0|6|0,Open,열기
both_ui/itemdetail|0|7|0,How to get,획득 방법
both_ui/otherplayerinfo|0|2|1|1,Add,친구 추가
both_ui/otherplayerinfo|0|2|5|1|0,Friendly Match,친선전
both_ui/otherplayerinfo|0|2|5|2|0,Ranked Match,단위전
both_ui/otherplayerinfo|0|2|6|1|0|0|0,Recent High Score,최근 고득점
both_ui/otherplayerinfo|0|2|6|1|0|3,No record available. Good luck!,기록이 없습니다. 행운을 빌어요!
both_ui/otherplayerinfo|0|2|6|1|1|0,ATK,공격
both_ui/otherplayerinfo|0|2|6|1|1|2,DEF,수비
both_ui/otherplayerinfo|0|2|6|1|1|4,SPD,속도
both_ui/otherplayerinfo|0|2|6|1|1|6,LUK,행운
both_ui/otherplayerinfo|0|2|6|1|1|8|0,ATK,공격
both_ui/otherplayerinfo|0|2|6|1|1|8|1,DEF,수비
both_ui/otherplayerinfo|0|2|6|1|1|8|2,SPD,속도
