path,header,target,translated
FandescFandesc.csv,name_en,Riichi,리치
FandescFandesc.csv,desc_en,Win a hand after you declared Riichi; You may declare Riichi when you achieve Tenpai (ready hand) at Menzenchin (closed hand),리치 선언 후 화료 - 리치 선언은 멘젠 상태에서 텐파이 했을 때 할 수 있음
FandescFandesc.csv,desc2_en,Menzenchin Only,멘젠 한정
FandescFandesc.csv,name_en,All Simples,탕야오
FandescFandesc.csv,desc_en,"Win a hand without any Terminal Tiles (1-Man/9-Man, 1-Pin/9-Pin, 1-Sou/9-Sou, Wind Tiles, and Dragon Tiles)","요구패(1만, 9만, 1통, 9통, 1삭, 9삭, 바람패, 역패)가 손패에 없는 상태로 화료"
FandescFandesc.csv,name_en,Fully Concealed Hand,멘젠쯔모
FandescFandesc.csv,desc_en,Win a hand by Tsumo (drawing the winning tile) at Menzenchin (closed hand),멘젠 상태에서 쯔모(자신이 뽑아온 패)로 화료
FandescFandesc.csv,name_en,Seat Wind,자풍패
FandescFandesc.csv,desc_en,Win a hand with a Triplet of Player Wind,자신의 방위에 맞는 바람패 커쯔가 포함된 손패로 화료
FandescFandesc.csv,name_en,Prevalent Wind,장풍패
FandescFandesc.csv,desc_en,Win a hand with a Triplet of Round Wind,장의 방위에 맞는 바람패 커쯔가 포함된 손패로 화료
FandescFandesc.csv,name_en,Dragons,역패
FandescFandesc.csv,desc_en,"Win a hand with a Triplet of Dragon Tile (White, Green or Red)","역패(백, 발, 중) 커쯔가 포함된 손패로 화료"
FandescFandesc.csv,name_en,Pinfu,핑후
FandescFandesc.csv,desc_en,"Win a hand with four Sequences and one non-Yakuhai Pair, plus the potential winning tiles must be tiles from both side of a Sequence","몸통이 모두 슌쯔이고, 역패(백, 발, 중)이 포함되어 있지 않고, 자풍패와 장풍패가 포함되어 있지 않고, 양면대기 상태에서 화료"
FandescFandesc.csv,name_en,Pure Double Sequence,이페코
FandescFandesc.csv,desc_en,Win a hand with two identical Sequences,완전히 동일한 슌쯔 두개를 몸통으로 사용하여 화료
FandescFandesc.csv,name_en,Robbing a Kan,창깡
FandescFandesc.csv,desc_en,"Call a Ron (declare winning) on another player’s Kan (when you have a Tenpai for Thirteen Orphans, you can call on a Closed Kan)",다른 플레이어가 가깡(자신이 펑한 패에 추가로 붙여 깡)을 한 패를 론(다른 사람의 패)으로 화료 - 국사무쌍 텐파이 상태일 경우에 한하여 안깡도 론 가능
FandescFandesc.csv,name_en,After a Kan,영상개화
FandescFandesc.csv,desc_en,Win a hand with the tile drawn from the Dead Wall after immediately calling a Kan,영상패(깡을 할 때 손으로 가져오는 패)로 화료
FandescFandesc.csv,name_en,Under the Sea,해저로월
FandescFandesc.csv,desc_en,Win a hand by Tsumo (drawing the winning tile) with the last tile drawn from the Wall,패산의 마지막 패를 쯔모(자신이 뽑아온 패)하여 화료
FandescFandesc.csv,name_en,Under the River,하저로어
FandescFandesc.csv,desc_en,Win a hand by calling Ron (declare winning) on the last discarded tile,마지막 버림패를 론(다른 사람의 패)으로 화료
FandescFandesc.csv,name_en,Ippatsu,일발
FandescFandesc.csv,desc_en,"Win a hand within 1 turn after declaring Riichi, in addition, draws/discards must not be interrupted by tile calls during that turn",리치 선언 후 1순(1바퀴)내로 화료 - 리치 선언 후 누군가 치/펑/깡을 했을 경우 무효
FandescFandesc.csv,name_en,Dora,도라
FandescFandesc.csv,desc_en,The next tile immediately after the flipped Dora Indicator Tile,도라표시패의 바로 다음 패를 손패에 포함
FandescFandesc.csv,desc2_en,Not Yaku,역 아님
FandescFandesc.csv,name_en,Red Five,적도라
FandescFandesc.csv,desc_en,"Red 5-Man, Red 5-Pin, Red 5-Sou","적5만, 적5통, 적5삭을 손패에 포함"
FandescFandesc.csv,name_en,Kita,북도라
FandescFandesc.csv,desc_en,"In 3-Player Mahjong, North Wind can be considered as a Dora after “Kita” is called (does not count as a Dora if North Wind remains in hand)",3인 마작에서 북패는 빼기 도라로 취급함(손패에 있는 북풍패를 북도라 선언하지 않았을 경우 도라로 취급하지 않음)
FandescFandesc.csv,name_en,Local Yaku: Tsubame-gaeshi,로컬역: 츠바메가에시
FandescFandesc.csv,desc_en,Call a Ron on the first tile discarded by another player to declare Riichi,다른 플레이어가 리치 선언을 하며 버린 패를 론으로 화료
FandescFandesc.csv,name_en,Local Yaku: Kanburi,로컬역: 영상개론
FandescFandesc.csv,desc_en,Call a Ron on a tile discarded by another player who just called Kan,다른 플레이어가 깡을 선언한 후 버린 패를 론으로 화료
FandescFandesc.csv,name_en,Local Yaku: Shiiaruraotai,로컬역: 십이낙태
FandescFandesc.csv,desc_en,"Win a hand by Tsumo or Ron with 4 open Chii, Pon, or Kan",몸통을 모두 치/펑/깡으로 만들고 머리를 대기패로 하여 화료
FandescFandesc.csv,name_en,Double Riichi,더블리치
FandescFandesc.csv,desc_en,Declare Riichi with your starting hand before any tiles are called,첫 쯔모 후 리치 선언을 한 후 화료 - 자신이 쯔모하기 전 누군가 치/펑/깡을 했을 경우 무효
FandescFandesc.csv,name_en,Triple Triplets,삼색동각
FandescFandesc.csv,desc_en,"Win a hand with three Triplets with the same number out of the Number Tiles (Man, Pin, Sou)","세가지 같은 숫자로 각 수패(만수, 통수, 삭수)로 커쯔 몸통을 만들어 화료 "
FandescFandesc.csv,name_en,Three Quads,산깡즈
FandescFandesc.csv,desc_en,Win a hand with three Quads,깡 3개를 포함하여 화료
FandescFandesc.csv,name_en,All Triplets,또이또이
FandescFandesc.csv,desc_en,Win a hand with four Triplets or Quads,커쯔 4개로 몸통을 만들어 화료
FandescFandesc.csv,name_en,Three Concealed Triplets,산안커
FandescFandesc.csv,desc_en,Win a hand with three closed Triplets or closed Quads,안커(펑/깡으로 만들지 않은 커쯔) 3개를 손패에 포함화여 화료
FandescFandesc.csv,name_en,Little Three Dragons,소삼원
FandescFandesc.csv,desc_en,"Win a hand with two Triplets out of the Dragon Tiles (White, Green or Red), plus a Pair of the third Dragon Tile","역패(백, 발, 중)으로 커쯔 2개와 머리를 만들어 화료"
FandescFandesc.csv,name_en,All Terminals and Honors,혼노두
FandescFandesc.csv,desc_en,"Win a hand with only Terminal Tiles (1-Man/9-Man, 1-Pin/9-Pin, 1-Sou/9-Sou, Wind Tiles, and Dragon Tiles)","요구패(1만, 9만, 1통, 9통, 1삭, 9삭, 바람패, 역패)만으로 몸통 4개와 머리를 만들어 화료"
FandescFandesc.csv,name_en,Seven Pairs,치또이츠
FandescFandesc.csv,desc_en,Win a hand with seven different Pairs,서로 다른 또이츠(동일한 패 2개) 7개를 모아 화료
FandescFandesc.csv,name_en,Half Outside Hand,찬타
FandescFandesc.csv,desc_en,"Win a hand where every Sequence, Triplet and Pair contains at least one Terminal Tile","4개의 몸통과 머리에 요구패(1만, 9만, 1통, 9통, 1삭, 9삭, 바람패, 역패)를 적어도 하나씩 포함하여 화료"
FandescFandesc.csv,desc2_en,-1 Han after making a call,울었을 경우 1판 차감
FandescFandesc.csv,name_en,Pure Straight,일기통관
FandescFandesc.csv,desc_en,"Win a hand with a complete Sequence of 1 through 9 (i.e. 123-Man, 456-Man, 789-Man)","같은 수패(만수, 통수, 삭수)로 구성된 123 슌쯔, 456 슌쯔, 789 슌쯔를 몸통으로 사용하여 화료"
FandescFandesc.csv,name_en,Mixed Triple Sequence,삼색동순
FandescFandesc.csv,desc_en,"Win a hand with three Sequences with the same numbers out of three different Number Tiles  (i.e. 123-Man, 123-Pin, 123-Sou)","같은 숫자의 슌쯔를 각각의 수패(만수, 통수, 삭수)로 만들어 몸통으로 사용하여 화료(예: 123만 슌쯔, 123통 슌쯔, 123삭 슌쯔)"
FandescFandesc.csv,name_en,Local Yaku: Uumensai,로컬역: 오문제
FandescFandesc.csv,desc_en,"Win a hand consists of Man, Pin, Sou, Wind, and Dragon tiles","만수패, 통수패, 삭수패, 바람패, 역패를 모두 하나 이상 포함한 손패로 화료"
FandescFandesc.csv,name_en,Local Yaku: Three Chained Triplets,로컬역: 삼련각
FandescFandesc.csv,desc_en,Win a hand with 3 consecutive Triplets,"연속된 숫자의 같은 수패(만수, 통수, 삭수)로 커쯔 3개를 만들어 몸통으로 사용하여 화료(예: 444만 커쯔, 555만 커쯔, 666만 커쯔)"
FandescFandesc.csv,name_en,Twice Pure Double Sequence,량페코
FandescFandesc.csv,desc_en,Win a hand with two sets two identical Sequences,서로 중복되지 않는 이페코 두개를 손패에 포함하여 화료(치또이츠와 중복되지 않음)
FandescFandesc.csv,name_en,Fully Outside Hand,준찬타
FandescFandesc.csv,desc_en,"Win a hand with every Sequence, Triplet and Pair contains at least one 1 and 9 out of the Number Tiles (1-Man/9-Man, 1-Pin/9-Pin, 1-Sou/9-Sou)","모든 몸통과 머리에 노두패(1만, 9만, 1통, 9통, 1삭, 9삭)을 적어도 하나 사용하여 화료"
FandescFandesc.csv,name_en,Half Flush,혼일색
FandescFandesc.csv,desc_en,"Win a hand with tiles from only one of the three Number Tiles (Man, Pin or Sou) and HonorTiles (Wind Tiles and Dragon Tiles)","세가지 수패(만수, 통수, 삭수) 중 하나와 자패(바람패, 역패)만으로 몸통과 머리를 만들어 화료"
FandescFandesc.csv,name_en,Local Yaku: Pure Triple Chow,로컬역: 일색삼순
FandescFandesc.csv,desc_en,Win a hand with three identical Sequences,"연속된 숫자의 같은 수패(만수, 통수, 삭수)로 슌쯔 3개를 만들어 몸통으로 사용하여 화료(예: 456만 슌쯔 3개)"
FandescFandesc.csv,name_en,Full Flush,청일색
FandescFandesc.csv,desc_en,"Win a hand with tiles from only one of the three Number Tiles (Man, Pin or Sou)","세가지 수패(만수, 통수, 삭수) 중 하나만으로 몸통과 머리를 만들어 화료"
FandescFandesc.csv,name_en,Mangan at Draw,유국만관
FandescFandesc.csv,desc_en,"Win a game with all your discarded tiles being Terminal Tiles, and no one has called them","패산을 모두 사용하여 유국될 때까지 요구패(1만, 9만, 1통, 9통, 1삭, 9삭, 바람패, 역패)만 버렸고, 자신의 버림패를 다른사람이 치/펑/깡하여 사용하지 않았을 경우"
FandescFandesc.csv,name_en,Local Yaku: Iipinmoyue,로컬역: 일통모월
FandescFandesc.csv,desc_en,"Win a hand by Tsumo (drawing the winning tile) with the last tile drawn from the Wall, and that tile must be 1-Pin(5 Han)",1통을 쯔모하여 해저로월(5판)
FandescFandesc.csv,name_en,Local Yaku: Chuupinraoyui,로컬역: 구통로어
FandescFandesc.csv,desc_en,"Call a Ron on the last tile drawn from the Wall, and that tile must be 9-Pin(5 Han)",9통을 론하여 하저로어(5판)
FandescFandesc.csv,name_en,Blessing of Heaven,천화
FandescFandesc.csv,desc_en,Win a hand as a dealer in the first turn with the first draw,친(오야)의 배패로 화료
FandescFandesc.csv,desc2_en,Dealer Only,친(오야) 한정
FandescFandesc.csv,name_en,Blessing of Earth,지화
FandescFandesc.csv,desc_en,Win a hand as a non-dealer in the first turn before any tiles are called,자(코)의 첫 쯔모패료 화료 - 화료 전 누군가 치/펑/깡을 선언했을 경우 무효
FandescFandesc.csv,desc2_en,Non-Dealer Only,자(코) 한정
FandescFandesc.csv,name_en,Big Three Dragons,대삼원
FandescFandesc.csv,desc_en,Win a hand with three Triplets or Quads of all the three Dragon Tiles,"역패(백, 발, 중)으로 커쯔 3개를 만들어 몸통으로 사용하여 화료"
FandescFandesc.csv,name_en,Four Concealed Triplets,스안커
FandescFandesc.csv,desc_en,Win a hand with four closed Triplets,안커(펑/깡으로 만들지 않은 커쯔) 4개를 손패에 포함화여 화료
FandescFandesc.csv,name_en,All Honors,자일색
FandescFandesc.csv,desc_en,Win a hand with four Triplets and a Pair of the Honor Tiles (Wind Tiles and Dragon Tiles),"자패(바람패, 역패)만으로 몸통과 머리를 만들어 화료"
FandescFandesc.csv,name_en,All Green,녹일색
FandescFandesc.csv,desc_en,Win a hand with only green-colored tiles: 2-Sou/3-Sou/4-Sou/6-Sou/8-Sou and/or Green (F),녹색 패로만 몸통과 머리를 만들어 화료(2삭/3삭/4삭/6삭/8삭/발)
FandescFandesc.csv,desc2_en,Green is not Necessary,발은 포함하지 않아도 허용
FandescFandesc.csv,name_en,All Terminals,청노두
FandescFandesc.csv,desc_en,"Win a hand with four Triplets and a Pair of 1 and 9 out of the Number Tiles (1-Man/9-Man, 1-Pin/9-Pin, 1-Sou/9-Sou)","노두패(1만, 9만, 1통, 9통, 1삭, 9삭)만으로 몸통과 머리를 만들어 화료"
FandescFandesc.csv,name_en,Thirteen Orphans,국사무쌍
FandescFandesc.csv,desc_en,"Win a hand with one of each 13 Terminal Tiles, plus any tile matches one of them","13개의 요구패(1만, 9만, 1통, 9통, 1삭, 9삭, 바람패, 역패)를 하나씩 가지고, 추가로 하나의 요구패를 가진 상태로 화료"
FandescFandesc.csv,name_en,Four Little Winds,소사희
FandescFandesc.csv,desc_en,"Win a hand with three Triplets or Quads of the Wind Tiles, plus a pair of the fourth wind",4가지 바람패로 3개의 커쯔와 몸통 하나를 만들어 화료
FandescFandesc.csv,name_en,Four Quads,스깡즈
FandescFandesc.csv,desc_en,Win a hand with four Quads,깡 4개를 포함하여 화료
FandescFandesc.csv,name_en,Nine Gates,구련보등
FandescFandesc.csv,desc_en,"Win a hand with tiles from only one of the three Number Tiles in the order of “1112345678999”, plus any tile matches one of them","세가지 수패(만수, 통수, 삭수) 중 하나로 ""1112345678999"" 형태와, 추가로 하나의 동일한 수패로 손패를 만들어 화료"
FandescFandesc.csv,name_en,Local Yaku: Hand of Man,로컬역: 인화
FandescFandesc.csv,desc_en,Call a Ron as a non-dealer in the first turn you draw a tile and before any tiles are called,"자신이 자(코)일 때, 자신의 첫 쯔모 전에 다른 사람의 버림패로 화료 - 화료 전 다른사람이 치/펑/깡을 선언했을 경우 무효"
FandescFandesc.csv,name_en,Local Yaku: Big Wheels,로컬역: 대차륜
FandescFandesc.csv,desc_en,Win a hand with 7 Pairs consist of 2-Pin to 8-Pin,2통부터 8통까지 사용하여 7개의 또이츠(동일한 패 2개)를 만들어 화료
FandescFandesc.csv,name_en,Local Yaku: Bamboo Forest,로컬역: 대죽림
FandescFandesc.csv,desc_en,Win a hand with 7 Pairs consist of 2-Sou to 8-Sou,2삭부터 8삭까지 사용하여 7개의 또이츠(동일한 패 2개)를 만들어 화료
FandescFandesc.csv,name_en,Local Yaku: Numerous Neighbours,로컬역: 대수린
FandescFandesc.csv,desc_en,Win a hand with 7 Pairs consist of 2-Man to 8-Man,2만부터 8만까지 사용하여 7개의 또이츠(동일한 패 2개)를 만들어 화료
FandescFandesc.csv,name_en,Local Yaku: Ishinouenimosannen,로컬역: 돌 위에서 삼년
FandescFandesc.csv,desc_en,Win a hand with Double Riichi as well as Under the Sea/River,더블 리치 선언 후 해저로월 또는 하저로어로 화료
FandescFandesc.csv,name_en,Single-wait Four Concealed Triplets,스안커 단기
FandescFandesc.csv,desc_en,Achieve Tenpai with four Closed Triplets already drawn (i.e. waiting for one remaining tile to form a Pair),"4개의 안커(펑/깡으로 만들지 않은 커쯔)를 손패에 가진 상태로 텐파이하고, 머리를 대기패로 하여 화료"
FandescFandesc.csv,name_en,Thirteen-wait Thirteen Orphans,국사무쌍 13면대기
FandescFandesc.csv,desc_en,Achieve Tenpai with 13 different Terminal Tiles already drawn (i.e. waiting for 1 out of 13 possible tiles to win),"13개의 요구패(1만, 9만, 1통, 9통, 1삭, 9삭, 바람패, 역패)를 손패에 하나씩 가진 상태로 텐파이하여, 13면대기 상태로 화료"
FandescFandesc.csv,name_en,True Nine Gates,순정구련보등
FandescFandesc.csv,desc_en,Achieve Tenpai with tiles from only one of the three Number Tiles in the order of “1112345678999” (i.e. waiting for 1 out of 9 possible tiles to win),"세가지 수패(만수, 통수, 삭수) 중 하나로 ""1112345678999"" 형태를 손패에 가진 상태로 텐파이하여 9면대기 상태로 화료"
FandescFandesc.csv,name_en,Four Big Winds,대사희
FandescFandesc.csv,desc_en,Win a hand with four Triplets or Quads of the Wind Tiles,바람패 커쯔 4개를 몸통으로 사용하여 화료
FandescFandesc.csv,name_en,Local Yaku: Big Seven Stars,로컬역: 대칠성
FandescFandesc.csv,desc_en,Win a hand with 7 Pairs consist of only Word tiles,"자패(바람패, 역패)만으로 치또이츠를 만들어 화료"
FandescFandesc.csv,name_en,Four-Wind Discarded,사풍연타
FandescFandesc.csv,desc_en,The game becomes a draw when each player discards the same Wind Tile in the first turn,각 플레이어의 첫 차례에 모두 동일한 바람패를 버림패로 사용했을 경우 유국
FandescFandesc.csv,name_en,Four-kan Abortion,사깡유국
FandescFandesc.csv,desc_en,The game becomes a draw when two or more players called for a total of four Quads,둘 이상의 플레이어가 총 4번의 깡을 했을 경우 유국
FandescFandesc.csv,name_en,Nine Different Terminals and Honors,구종구패
FandescFandesc.csv,desc_en,You have the option to declare a draw in the first turn if your hand consists of 9 different Terminal Tiles  before any tiles are called,"자신의 첫 쯔모 후 손패에 9개 이상의 서로 다른 요구패(1만, 9만, 1통, 9통, 1삭, 9삭, 바람패, 역패)가 있을 경우 유국시킬 수 있음(선택적)"
FandescFandesc.csv,name_en,Four-player Riichi,사가리치
FandescFandesc.csv,desc_en,The game becomes a draw when all players have declared Riichi,4명의 플레이어가 모두 리치 선언을 했을 경우 유국
FanFan.csv,name_en,Fully Concealed Hand,멘젠쯔모
FanFan.csv,name_en,Riichi,리치
FanFan.csv,name_en,Robbing a Kan,창깡
FanFan.csv,name_en,After a Kan,영상개화
FanFan.csv,name_en,Under the Sea,해저로월
FanFan.csv,name_en,Under the River,하저로어
FanFan.csv,name_en,White Dragon,역패: 백
FanFan.csv,name_en,Green Dragon,역패: 발
FanFan.csv,name_en,Red Dragon,역패: 중
FanFan.csv,name_en,Seat Wind,자풍패
FanFan.csv,name_en,Prevalent Wind,장풍패
FanFan.csv,name_en,All Simples,탕야오
FanFan.csv,name_en,Pure Double Sequence,이페코
FanFan.csv,name_en,Pinfu,핑후
FanFan.csv,name_en,Half Outside Hand,찬타
FanFan.csv,name_en,Pure Straight,일기통관
FanFan.csv,name_en,Mixed Triple Sequence,삼색동순
FanFan.csv,name_en,Double Riichi,더블리치
FanFan.csv,name_en,Triple Triplets,삼색동각
FanFan.csv,name_en,Three Quads,산깡즈
FanFan.csv,name_en,All Triplets,또이또이
FanFan.csv,name_en,Three Concealed Triplets,산안커
FanFan.csv,name_en,Little Three Dragons,소삼원
FanFan.csv,name_en,All Terminals and Honors,혼노두
FanFan.csv,name_en,Seven Pairs,치또이츠
FanFan.csv,name_en,Fully Outside Hand,준찬타
FanFan.csv,name_en,Half Flush,혼일색
FanFan.csv,name_en,Twice Pure Double Sequence,량페코
FanFan.csv,name_en,Full Flush,청일색
FanFan.csv,name_en,Ippatsu,일발
FanFan.csv,name_en,Dora,도라
FanFan.csv,name_en,Red Five,적도라
FanFan.csv,name_en,Ura Dora,뒷도라
FanFan.csv,name_en,Kita,북도라
FanFan.csv,name_en,Blessing of Heaven,천화
FanFan.csv,name_en,Blessing of Earth,지화
FanFan.csv,name_en,Big Three Dragons,대삼원
FanFan.csv,name_en,Four Concealed Triplets,스안커
FanFan.csv,name_en,All Honors,자일색
FanFan.csv,name_en,All Green,녹일색
FanFan.csv,name_en,All Terminals,청노두
FanFan.csv,name_en,Thirteen Orphans,국사무쌍
FanFan.csv,name_en,Four Little Winds,소사희
FanFan.csv,name_en,Four Quads,스깡즈
FanFan.csv,name_en,Nine Gates,구련보등
FanFan.csv,name_en,Eight-time East Staying,팔연장
FanFan.csv,name_en,True Nine Gates,순정구련보등
FanFan.csv,name_en,Single-wait Four Concealed Triplets,스안커 단기
FanFan.csv,name_en,Thirteen-wait Thirteen Orphans,국사무쌍 13면대기
FanFan.csv,name_en,Four Big Winds,대사희
FanFan.csv,name_en,Tsubame-gaeshi,츠바메가에시
FanFan.csv,name_en,Kanburi,영상개론
FanFan.csv,name_en,Shiiaruraotai,십이낙태
FanFan.csv,name_en,Uumensai,오문제
FanFan.csv,name_en,Three Chained Triplets,삼련각
FanFan.csv,name_en,Pure Triple Chow,일색삼순
FanFan.csv,name_en,Iipinmoyue,일통모월
FanFan.csv,name_en,Chuupinraoyui,구통로어
FanFan.csv,name_en,Hand of Man,인화
FanFan.csv,name_en,Big Wheels,대차륜
FanFan.csv,name_en,Bamboo Forest,대죽림
FanFan.csv,name_en,Numerous Neighbours,대수린
FanFan.csv,name_en,Ishinouenimosannen,돌 위에서 삼년
FanFan.csv,name_en,Big Seven Stars,대칠성
StrStr.csv,en,Deal-in is not the end; All Last is only the beginning!,"쏘였다고 경기에서 패배한 것은 아니며, 최종국은 또다른 시작일 뿐입니다!"
StrStr.csv,en,"No matter how big your hand is, a Tanyao will end it all.","내 손패가 아무리 강해도, 탕야오 한번에 끝날 수 있습니다."
StrStr.csv,en,"You must have Yaku to declare a win. Before you make a call (Chii/Pon/Kan), make sure you check if you have Yaku.",화료하기 위해서는 역이 필요합니다. 울기(치/펑/깡) 전에 역이 있는지 꼭 확인하세요.
StrStr.csv,en,Go to settings menu to view all types of Yaku,설정 메뉴에서 모든 역을 확인할 수 있습니다.
StrStr.csv,en,"In settings, you can choose to play a tile with single or double click",설정에서 한번 터치 또는 두번 터치로 타패하도록 변경할 수 있습니다.
