location,context,source,target,notes,developer comments
ActivityActivity.csv,name_en,圣夜的宝物,圣夜的宝物,,
ActivityActivity.csv,name_en,圣夜的礼物箱,圣夜的礼物箱,,
ActivityActivity.csv,name_en,新角色 新装版up,新角色 新装版up,,
ActivityActivity.csv,name_en,春节夺宝战,春节夺宝战,,
ActivityActivity.csv,name_en,春节的礼品箱,春节的礼品箱,,
ActivityActivity.csv,name_en,Nikaidou's Class,Nikaidou's Class,,
ActivityActivity.csv,name_en,Nikaidou's Reward,Nikaidou's Reward,,
ActivityActivity.csv,name_en,对局点数活动,对局点数活动,,
ActivityActivity.csv,name_en,排名活动,排名活动,,
ActivityActivity.csv,name_en,古役活动,古役活动,,
ActivityActivity.csv,name_en,Visiting the Shrine in Midsummer,Visiting the Shrine in Midsummer,,
ActivityActivity.csv,name_en,Midsummer Gifts,Midsummer Gifts,,
ActivityActivity.csv,name_en,Beach Party,Beach Party,,
ActivityActivity.csv,name_en,,,,
ActivityActivity.csv,name_en,Missions from Moon Palace,Missions from Moon Palace,,
ActivityActivity.csv,name_en,Moon Palace,Moon Palace,,
ActivityActivity.csv,name_en,Hana Ninomiya's Challenge,Hana Ninomiya's Challenge,,
ActivityActivity.csv,name_en,DoraDorara,DoraDorara,,
ActivityActivity.csv,name_en,Halloween Event,Halloween Event,,
ActivityActivity.csv,name_en,Halloween Event Exchange,Halloween Event Exchange,,
ActivityActivity.csv,name_en,Chiori's Trouble,Chiori's Trouble,,
ActivityActivity.csv,name_en,Open Hand Match,Open Hand Match,,
ActivityActivity.csv,name_en,New Year Celebration,New Year Celebration,,
ActivityActivity.csv,name_en,Celebration Shop,Celebration Shop,,
ActivityActivity.csv,name_en,Spring Festival Limited-time Sticker Shop,Spring Festival Limited-time Sticker Shop,,
ActivityActivity.csv,name_en,Gorgeous Spring,Gorgeous Spring,,
ActivityActivity.csv,name_en,Launch: School Operation,Launch: School Operation,,
ActivityActivity.csv,name_en,Detection: OP Progress,Detection: OP Progress,,
ActivityActivity.csv,name_en,Ichihime's Working Adventure,Ichihime's Working Adventure,,
ActivityActivity.csv,name_en,Working Adventure Quest,Working Adventure Quest,,
ActivityActivity.csv,name_en,Working Adventure Rewards,Working Adventure Rewards,,
ActivityActivity.csv,name_en,Maid's Commission,Maid's Commission,,
AudioBgm.csv,name_en,Sakura,Sakura,,
AudioBgm.csv,unlock_desc_en,,,,
AudioBgm.csv,name_en,Midsummer,Midsummer,,
AudioBgm.csv,unlock_desc_en,Unlock by event,Unlock by event,,
AudioBgm.csv,name_en,Bamboo,Bamboo,,
CharacterEmoji.csv,unlock_desc_en,Bond,Bond,,
CharacterEmoji.csv,after_unlock_desc_en,,,,
CharacterEmoji.csv,unlock_desc_en,,,,
CharacterEmoji.csv,unlock_desc_en,Event,Event,,
CharacterEmoji.csv,after_unlock_desc_en,9/27  (PDT),9/27  (PDT),,
CharacterEmoji.csv,after_unlock_desc_en,10/30 (PDT),10/30 (PDT),,
CharacterEmoji.csv,after_unlock_desc_en,11/09 (PDT),11/09 (PDT),,
CharacterEmoji.csv,after_unlock_desc_en,12/11(PDT),12/11(PDT),,
CharacterEmoji.csv,after_unlock_desc_en,12/26(PDT),12/26(PDT),,
CharacterEmoji.csv,unlock_desc_en,Sticker Shop,Sticker Shop,,
CharacterEmoji.csv,after_unlock_desc_en,2/28(UTC-7),2/28(UTC-7),,
CharacterEmoji.csv,unlock_desc_en,Unlock Outfit,Unlock Outfit,,
CharacterEmoji.csv,after_unlock_desc_en,Christmas,Christmas,,
CharacterEmoji.csv,after_unlock_desc_en,Halloween,Halloween,,
CharacterEmoji.csv,after_unlock_desc_en,Beach Party,Beach Party,,
CharacterEmoji.csv,after_unlock_desc_en,New Year,New Year,,
